361       PFIZER                                  54    NEW YORK            NY   10017     96500     
362       PG&E CORP.                              157   SAN FRANCISCO       CA   94105     24000     
363       PHILIP MORRIS INTERNATIONAL             104   NEW YORK            NY   10017     79500     
364       PHILLIPS 66                             34    HOUSTON             TX   77042     14800     
365       PLAINS GP HOLDINGS                      141   HOUSTON             TX   77002     5100      
366       PNC FINANCIAL SERVICES GROUP            166   PITTSBURGH          PA   15222     50683     
367       PPG INDUSTRIES                          183   PITTSBURGH          PA   15272     47000     
368       PPL                                     365   ALLENTOWN           PA   18101     12689     
369       PRAXAIR                                 275   DANBURY             CT   6810      26498     
370       PRICELINE GROUP                         268   NORWALK             CT   6854      18500     
371       PRINCIPAL FINANCIAL                     227   DES MOINES          IA   50392     14854     
372       PROCTER & GAMBLE                        36    CINCINNATI          OH   45202     105000    
373       PROGRESSIVE                             120   MAYFIELD VILLAGE    OH   44143     31721     
374       PRUDENTIAL FINANCIAL                    48    NEWARK              NJ   7102      49739     
375       PUBLIC SERVICE ENTERPRISE GROUP         308   NEWARK              NJ   7102      13065     
376       PUBLIX SUPER MARKETS                    85    LAKELAND            FL   33811     191000    
377       PULTEGROUP                              353   ATLANTA             GA   30326     4623      
378       PVH                                     335   NEW YORK            NY   10016     26650     
379       QUALCOMM                                119   SAN DIEGO           CA   92121     30500     
380       QUANTA SERVICES                         355   HOUSTON             TX   77056     28100     
381       QUEST DIAGNOSTICS                       366   SECAUCUS            NJ   7094      43000     
382       QUINTILES TRANSNATIONAL HOLDINGS        390   DURHAM              NC   27703     50000     
383       R.R. DONNELLEY & SONS                   388   CHICAGO             IL   60606     44360     
384       RALPH LAUREN                            371   NEW YORK            NY   10022     20500     
385       RAYMOND JAMES FINANCIAL                 469   SAINT PETERSBURG    FL   33716     11900     
386       RAYTHEON                                116   WALTHAM             MA   2451      63000     
387       REALOGY HOLDINGS                        448   MADISON             NJ   7940      11800     
388       REGIONS FINANCIAL                       436   BIRMINGHAM          AL   35203     22166     
389       REINSURANCE GROUP OF AMERICA            246   CHESTERFIELD        MO   63017     2371      
390       RELIANCE STEEL & ALUMINUM               320   LOS ANGELES         CA   90071     14500     
